标题	标题链接	iteminfo__line2__jobdesc__salary	iteminfo__line2__jobdesc__demand	iteminfo__line2__jobdesc__demand1	iteminfo__line2__jobdesc__demand2	iteminfo__line1__compname__name	iteminfo__line2__compdesc	iteminfo__line2__compdesc1	详情标题	职位描述	工作地点
跨境电商大数据中心助理	http://jobs.zhaopin.com/CCL1250996880J40137113704.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	5千-1万	西安	不限	本科	陕西智诚大数据服务有限公司	民营	100-299人	跨境电商大数据中心助理	职位描述跨境电商数据中心岗位职责： 1.负责跨境电商产品数据内容编辑以及发布（包括编写及优化Listing，产品内容介绍等）；   2.经培训后根据要求撰写关键词；    3.定期对数据进行分析汇总，优化编辑，掌握新产品和热销产品信息；      4. 深度研究平台政策和功能，跟踪、收集行业的流行趋势，搜集整理、更新数据内容；	雁塔区旺座曲江G座808
数据处理专员	http://jobs.zhaopin.com/CC154254424J00318794703.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	4千-6千	西安	不限	学历不限	西安鼎城城维大数据科技股份有限公司	股份制企业	20-99人	数据处理专员	职位描述数据分析数据挖掘数据清洗大数据分析需求分析大数据平台岗位职责：1.负责基础数据的清洗、加工处理；2.负责各类数据的录入、矫正等；3.其他协助性工作；1.年龄22-35，性格开朗，做事认真;2.熟练使用电脑，良好的学习能力，能快速熟悉并使用各种工具类软件；3.熟练使用Excel、Word等办公软件；4.工作经验不限。	西安市南二环朱雀路交汇口华融国际商务大厦B座604号
大数据交付SA	http://jobs.zhaopin.com/CC000544460J40057483716.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.2万-2.4万	西安	3-5年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据交付SA	职位描述运营商业务需求分析大数据服务SQL开发1、熟悉运营商业务，如计费、CRM、无线、网管等相关领域；2、具备需求理解、标准理解能力，并能够顺畅的与客户进行沟通交流及引导，具备一定需求分析及管理能力；3、有技术方案设计，并具备实际落地相关经验，具有一定的行业洞察和业务创新能力；4、3年及以上电信行业从业经验，负责过特定模块交付工作，具备独立解决技术问题或风险管理能力；5、熟练掌握SQL开发；熟悉python、perl等编程人员优先。    1、负责大数据服务解决方案的规划、设计，以及相关解决方案资料的输出；  2、负责大数据特定领域需求及问题分析管理工作；  3、负责大数据服务解决方案特性的落地实现，包括需求分解及跟踪、方案验证等；  4、承担国内大数据项目支持工作，包括客户交流，需求调研及分析，项目策略及方案制定，交付支撑等；	-
大数据套件TBDS后台开发工程师	http://jobs.zhaopin.com/CC120072290J40149368108.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"面议
          · 16薪"	西安-雁塔区	3-5年	本科	腾讯	民营	10000人以上	大数据套件TBDS后台开发工程师	职位描述SparkJava大数据开发LinuxHbaseHiveFlinkKafka岗位职责：1,负责腾讯云大数据处理套件TBDS产品的服务设计和开发工作2,负责全链路大数据开发及数据治理服务设计和开发工作3,负责实时流数据处理、离线批数据分析、实时多维分析等高性能数据分析引擎服务开发岗位要求：1,本科及以上学历，计算机相关专业，3-5年以上相关工作经验;2,熟悉Linux开发环境，精通Java编程语言，有JVM调优经验，能熟练使用jmap，jstack，jstat等工具者优先；3,熟悉TCP/IP协议栈，具有TCP/UDP网络编程相关经验;熟悉NIO机制，使用过Netty组件优先4,扎实的数据结构，算法和编程功底，有良好的编程习惯和风格;5,熟悉或使用过Hadoop、HBase、Spark、Hive、Flink、ElasticSearch、Kafka、Presto、Clickhouse等开源大数据套件者优先6,精通SQL操作，具有MySQL/PostgreSQL/Oracle一种或多种关系数据库开发经验；7,熟悉或使用过HDFS，Ceph等分布式文件系统者优先8,熟悉K8S和Docker等容器技术者优先;9,优秀的分析问题、解决问题能力和团队合作意识、有良好的责任心、善于沟通、工作上能自主驱动、用于接受挑战、富有创新精神;10,通过腾讯云技术认证或同等资格认证的优先录取注：此岗位为腾讯集团旗下全资子公司编制岗位	沣惠南路与科技六路交叉口北200米新长安广场二期C座
PostgreSQL DBA （数据库管理员）	http://jobs.zhaopin.com/CC154254420J40140569114.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	9千-1万	西安	3-5年	本科	西安鼎城城维大数据科技股份有限公司	股份制企业	20-99人	PostgreSQL DBA （数据库管理员）	职位描述PythonPHPJAVA/C#ShellDBAPOSTRESQL岗位职责：1. 数据库维护：负责数据库及相关服务器的热备. 集群管理维护，监控及性能优化；2. 数据库设计：参与项目，根据项目方案与需求进行数据模型设计，保证数据库开发的规范性；进行数据库相关脚本的编写；3. 数据库优化：为项目开发. 测试提供数据库相关支持，负责对数据库性能优化. 应用优化；4. 文档编写：根据软件工程要求，编写数据库文档，包括数据标准. 数据词典的定义等，为软件测试与维护提供材料；任职要求：1. 2 年以上关系数据库开发经验，深入理解 PostreSQL 体系架构，对于 PostgreSQL MVCC 原理. 存储体系. 内存使用. 进程分配有清晰. 全面的认识；2. 熟练掌握数据库的存储过程. 触发器. 函数. 熟练使用 pl/pgsql ；熟悉以下一种脚本语言 Python/PHP/JAVA/C#/SHELL ；3. 根据业务模型对数据建模. 数据分析；对分布式计算. 水平扩展. 大数据等有经验者优先；4. 熟悉 PgPool. PgBouncer 或 PostGis 者优先；5. 具有中大型电子商务网站或软件项目开发经验者优先；6. 责任心强，做事细心. 有恒心和毅力. 具备良好的团队合作精神和承受压力的能力；7. 不考虑非 PostreSQL 体系架构的 DBA。	西安市南二环朱雀路交汇口华融国际商务大厦B座604号
大数据交付项目经理	http://jobs.zhaopin.com/CC000544460J40057484816.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.2万-2.4万	西安	3-5年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据交付项目经理	职位描述解决方案需求分析大数据交付Oracle实施工程部署实施说明：以下技能熟悉两种及以上即可。1、熟悉主流操作系统（Suse/Redhat）、数据网络通信基础，及熟悉主机服务器、存储及交换机等硬件基本知识；2、熟悉一种Oracle/MySQL/GaussDB/其他关系型数据库，了解数据库日常使用维护相关的知识。3、熟悉至少一种脚本语言，比如shell，perl等等4、具有软件项目实施经验，熟悉组网方案设计、集成实施、软件调测、客户验收等；5、具有良好的沟通技能、团队合作能力，能够顺畅的与客户进行沟通交流及引导；6、熟悉了解大数据系统的技术原理、功能架构、典型组网；7、熟悉hadoop的规划、使用、运维。  1、负责大数据类交付项目实施计划、组网及集成设计、工程部署实施、数据迁移、集成测试及客户验收并能够跟踪有效实施；  2、负责项目中典型故障场景的应急预案、重大变更方案、重大事件保障方案、巡检方案,并根据方案有效实施；  3、能够处理项目中技术问题，主导分析问题定界和定位，制定解决计划与方案，并跟踪问题解决；  4、技术风险管理：识别项目中技术风险，如服务策略、技术方案、网络安全和服务合同等，采取有效措施应对并规避风险；  5、客户沟通引导：与基层客户有效沟通技术方案、项目计划和进度等，获得客户支持和认可；	-
大数据算法工程师	http://jobs.zhaopin.com/CC821867860J00510592203.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2万	西安	3-5年	硕士	西安寰宇卫星测控与数据应用有限公司	国企	100-299人	大数据算法工程师	职位描述大数据挖掘分析算法设计机器学习建模技术岗位职责：1.负责航天测控领域多维大数据挖掘分析。利用机器学习等方法建立大数据分析模型，算法设计、实现与优化；2.负责开拓前沿的机器学习和建模技术。任职条件：1.全日制硕士研究生及以上学历，计算机、数学或统计专业毕业，有3年以上算法实际工作经验；2.有大数据处理分析经验，熟悉hadoop、spark、MongoDB等大数据处理平台；3.熟练常用机器学习和数据挖掘算法，包括但不限于朴素贝叶斯、因子分析、SVM、关联规则、决策树等算法；4.熟练c++、python、java等至少一种语言，并熟悉Linux开发环境；5.有在大数据平台算法设计、实现工程经验；6.责任心强，积极主动，有良好的沟通能力和团队合作能力。	东长安街与神舟三路交汇处西南陕铁大厦6层
研发工程师（大数据）	http://jobs.zhaopin.com/CC393236710J40123807804.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2.5万	西安-雁塔区	3-5年	本科	绿盟科技	股份制企业	1000-9999人	研发工程师（大数据）	职位描述大数据平台工作职责 负责大数据平台产品的竞品分析，业务或技术规划和定义，持续提升产品业务能力，保持竞争力； 负责大数据平台产品的需求定义、分析和管理，推进和跟踪产品需求落地； 负责大数据平台产品的技术选型和系统架构设计，制定和落地技术体系发展规划，推进技术创新和技术体系建设，保持技术先进性； 承担技术创新，关键技术突破，难点公关等技术预研工作；任职要求： 本科要求5年以上，硕士/博士要求3年以上，大数据平台相关研发工作经验； 熟悉hadoop技术栈、主流关系型/非关系型数据库、计算机网络和主流网络协议； 对IPv6、物联网、云计算、虚拟化等新技术方向有一定的了解； 具有需求分析和管理相关工作经验；  熟悉主流的软件设计模式和软件框架；具有大数据平台架构设计经验； 具有良好的问题理解和分析能力，技术规划/设计能力，项目组织管理能力； 具有良好的沟通交流能力和文档编写能力； 了解网络安全产品，具有网络安全相关工作经验，优先录用 了解机器学习、数据分析算法，具有相关工作经验，优先录用	国家数字出版基地
Java开发（大数据，云计算，区块链）	http://jobs.zhaopin.com/CC508620126J00254372005.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安	1-3年	本科	中软国际	上市公司	10000人以上	Java开发（大数据，云计算，区块链）	职位描述数据挖掘云计算区块链  任职要求：  1、本科及其以上学历，2年以上Java工作经验  2、熟练掌握java的字符串、集合、流应用，  3、对html5、js、css有一定认识，能进行简单js功能开发及应用，能开发基础功能页面  4、熟练应用Oracle数据库，能进行存储过程、函数、任务的开发  5、熟悉BS架构，熟悉spring+cxf+mybatis的服务开发模式，熟悉rest服务和soap的开发规范  6、具备很好的团队意识，能高效完成联调任务，学习能力强，能很快接受并掌握新事物  项目背景：  华为云及大数据： FusionInsight 大数据服务 ，FusionSphere ，FusionStage 对应产品，均可在线直接百度查询，相关情况。	西安市高新区天谷八路与云水一路十字东北角
大数据可视化工程师	http://jobs.zhaopin.com/CC711528080J40136094408.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.8万	西安-雁塔区	3-5年	本科	深圳市戴升智能科技有限公司	民营	20人以下	大数据可视化工程师	职位描述交互设计平面设计3DMAX岗位职责:   1.负责公司的推广资料及产品资料的平面设计包括（Banner、海报、推广图、PPT等）；    2.负责核心产品整体视觉风格定义，界面设计规范及运营规范的输出。    3.高质量完成产品的视觉设计工作；配合交互设计及前端开发人员的工作，确保线上产品高度还原产品方案；    4、和交互设计师联合发起优化线上产品体验需求，并推进用户体验优化；    5、核心业务多终端的视觉设计。   任职要求：   1、本科以上学历，设计相关专业毕业，3年以上成熟设计经验，人机交互、工业设计、视觉设计相关专业；    2、拥有优秀的视觉设计能力、时尚流行敏感度、并且在web/app界面设计方面有成熟的作品；    3、认真细致、善于创新，对视觉设计、色彩有敏锐的观察力及分析能力；    4、具备优秀的审美品位、丰富的想象力和对市场信息的敏锐感受能力，有较强的用户观念，在设计中能够充分考虑用户体验；    5、具备合作精神，有效果的表达能力与沟通能力，强烈的事业心和责任感，抗压能力强。	高新区科技二路72号
大数据架构师（西安）	http://jobs.zhaopin.com/CC121066840J40149806110.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安	5-10年	本科	海尔智家股份有限公司	国企	10000人以上	大数据架构师（西安）	职位描述职责描述：1、负责大数据基础和应用平台的整体规划和架构设计，参与需求分析，架构设计，详细设计以及技术选型决策； 2、负责基础业务复杂系统设计，确保系统的架构质量，编写核心模块代码； 3、理解系统的业务需求，制定系统的整体技术框架，业务框架和系统架构； 4、负责为产品开发，实施，运维提供技术保障； 5、对系统框架相关技术和业务进行培训，指导开发人员开发，解决系统开发、运行中出现的各种问题； 6、从安全，扩展，性能，重用等系统级方便进行全局把控。任职要求：1、熟悉大数据和数据仓库的系统架构设计方法； 2、熟练使用并理解Hadoop/Spark架构及生态。（Hadoop，Hive，Hbase，Elasticsearch，Kafka，Spark,Flink等）； 3、熟悉分布式系统架构，有分布式实时、离线和机器学习平台的架构和开发经验，具备海量数据清洗、分析处理及存储的实践经验； 4、熟练使用Java，Scala或C++至少一门语言，具有大规模分布式系统调优经验； 5、对大数据技术有钻研的热情，乐于分享。	西安市雁塔区宝德云谷国际A座16层1604室
39415K-大数据工程师（西安）	http://jobs.zhaopin.com/CC000204810J40129130512.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安	5-10年	本科	平安医疗健康管理股份有限公司	上市公司	1000-9999人	39415K-大数据工程师（西安）	职位描述工作职责要求：1、基于开源大数据技术体系的应用平台研发；2、结合项目业务需求，研发特定业务领域的数据模型；3、负责数据模型的设计、实施、性能优化；4、数据建模、数据仓库的设计；5、大数据的离线和实时处理，数据模型的设计与开发。任职资格：1、熟悉HIVE、PostgreSQL，熟悉SQL内部运行机制，有丰富的SQL性能调优经验，有丰富的Java或python语言开发经验；2、具有基于Hadoop、Spark、Flink等数据处理框架的开发经验；3、具有数据仓库的ETL开发和数据建模的经验，有数据治理、数据仓库、大数据平台架构设计能力；4、深入掌握大数据相关组件的性能调优技术、具有较为丰富的问题排查经验，具有大规模分布式系统调优经验；5、熟悉SpringCloud技术开发体系；6、熟悉GOF、TOGAF等架构设计方法论；7、熟悉数据开发、了解数据管理、数据分析相关知识；8、对数据领域具有强烈兴趣、有钻研热情，具有强烈的责任感与使命感；9、有实际使用Hive/MR/Spark等大数据处理技术解决大数据相关问题的项目经验，具备丰富的性能调优经验；10、优秀的沟通能力和文字表达能力，有较强的团队管理能力。	西安市陕西省西安市碑林区建设东路3号
大数据图挖掘算法工程师	http://jobs.zhaopin.com/CC000542940J40148643014.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安	无经验	本科	华为技术有限公司	民营	10000人以上	大数据图挖掘算法工程师	职位描述岗位职责:1）把握图分析领域的前沿技术和发展趋势，参与项目和技术规划；2）负责前沿技术研究和算法设计实现，解决图挖掘领域业界难题，构建图分析算法面向算力的业界技术竞争力。岗位要求:业务技能要求：1）精通大数据常见组件，包括不限于Spark/GraphX/cuGraph等，且具有实践经验；2）熟悉分布式图数据处理框架，包括但不限于Pregel、Graphx、PowerGraph、Plato，具备分布式图计算框架设计和开发经验；3）熟练使用cuGraph、DGL、Graph-learn等图分析、图学习相关的算法库，且具有一定的异构硬件的开发经验和优化经验；4）有一定编程经验，有scala，java，python等开发经验者优先。专业知识要求：1）熟悉分布式图数据处理框架，包括但不限于Pregel、Graphx、PowerGraph、Plato等，对图计算框架的技术演进方向有洞察；2）在图论有扎实的理论基础，具有端到端使用图论解决大规模图挖掘问题的能力；3）有结合图论数学原理和硬件特性进行硬件加速、异构加速的项目经验和成果；4）熟悉深度神经网络原理，有针对图神经网络进行分布式训练框架加速、核心算子原语加速的经验者优先。	西安
大数据交付TD	http://jobs.zhaopin.com/CC000544460J40145491816.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2万	西安-雁塔区	3-5年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据交付TD	职位描述大数据开发项目交付大数据运维算法实现PythonSUSEOracleShell 岗位要求 1、有大数据相关行业里做机器学习算法实现和分析经验， 2、理解主流AI算法的原理和应用。 3、具备良好的Python编程能力 说明：以下技能熟悉两种及以上即可。 1、熟悉主流操作系统（Suse/Redhat）、数据网络通信基础，及熟悉主机服务器、存储及交换机等硬件基本知识； 2、熟悉一种Oracle/MySQL/GaussDB/其他关系型数据库，了解数据库日常使用维护相关的知识。 3、熟悉至少一种脚本语言，比如shell，perl等等 4、具有软件项目实施经验，熟悉组网方案设计、集成实施、软件调测、客户验收等； 5、具有良好的沟通技能、团队合作能力，能够顺畅的与客户进行沟通交流及引导； 6、熟悉了解大数据系统的技术原理、功能架构、典型组网； 7、熟悉hadoop的规划、使用、运维。 岗位职责   1、负责大数据类交付项目实施计划、组网及集成设计、工程部署实施、数据迁移、集成测试及客户验收并能够跟踪有效实施；    2、负责项目中典型故障场景的应急预案、重大变更方案、重大事件保障方案、巡检方案,并根据方案有效实施；    3、能够处理项目中技术问题，主导分析问题定界和定位，制定解决计划与方案，并跟踪问题解决；    4、技术风险管理：识别项目中技术风险，如服务策略、技术方案、网络安全和服务合同等，采取有效措施应对并规避风险；    5、客户沟通引导：与基层客户有效沟通技术方案、项目计划和进度等，获得客户支持和认可；	高新区天谷八路环普科技产业园E座
项目经理（大数据）	http://jobs.zhaopin.com/CC200911984J00385704807.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.1万-1.2万	西安-高新技术产业开发区	5-10年	本科	美林数据技术股份有限公司	股份制企业	500-999人	项目经理（大数据）	职位描述PMPCMMI项目管理岗位职责：1、负责公司大数据平台的项目管理，参与应用项目架构，数据架构规范，指导团队落地，管理项目进度按照计划顺利完成。2、负责数据基础架构和数据处理体系的升级和优化，不断提升系统的稳定性和效率，为公司的业务提供大数据底层平台的支持和保证。3、与用户沟通需求，并提出解决方案；与公司其他部门或其他项目组保持良好协作，确保项目良好运转。.4、培养和建立公司的大数据团队，对团队进行技术指导。任职要求：1、统招本科及以上，5年以上相关工作经验；2、熟悉大数据系统架构，熟悉银行、证券行业数据仓库建模方法及新的建模方法的发展；有DW，BI架构体系的专项建设经验，包括但不限于：数据质量、元数据、主数据管理、数据生命周期等。3、熟悉目前正在发展的大数据分布式平台前沿技术的应用；包括但不仅仅限于：hadoop、storm、hive、spark、Kafka、Phoenix等。4、熟悉应用软件开发过程，精通业务需求分析和系统分析设计，承担过大型项目的项目经理工作；5、具备较强的数据分析能力和良好的需求理解力，能独立撰写项目解决方案、项目技术文档；6、具有优秀的书面和口头表达能力，良好的客户服务意识，优秀的团队领导和组织协调能力。	西安
大数据架构师	http://jobs.zhaopin.com/CC395148510J40138670012.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2万	西安-高新技术产业开发区	3-5年	本科	陕西众力人力资源集团有限责任公司	民营	100-299人	大数据架构师	职位描述SparkHadoopJavaC++岗位职责：   1、负责大数据基础和应用平台的整体规划和架构设计，参与需求分析，架构设计，详细设计以及技术选型决策；    2、负责基础业务复杂系统设计，确保系统的架构质量，编写核心模块代码；    3、理解系统的业务需求，制定系统的整体技术框架，业务框架和系统架构；    4、负责为产品开发，实施，运维提供技术保障；    5、对系统框架相关技术和业务进行培训，指导开发人员开发，解决系统开发、运行中出现的各种问题；    6、从安全，扩展，性能，重用等系统级方便进行全局把控。    任职要求：       1、熟悉大数据和数据仓库的系统架构设计方法；       2、熟练使用并理解Hadoop/Spark架构及生态。（Hadoop，Hive，Hbase，Elasticsearch，Kafka，Spark,Flink等）；       3、熟悉分布式系统架构，有分布式实时、离线和机器学习平台的架构和开发经验，具备海量数据清洗、分析处理及存储的实践经验；       4、熟练使用Java，Scala或C++至少一门语言，具有大规模分布式系统调优经验；       5、对大数据技术有钻研的热情，乐于分享。	锦业一路29号龙旗科技园A座
（联想集团）大数据项目经理	http://jobs.zhaopin.com/CC802844770J40135259112.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	2万-3.5万	西安-碑林区	5-10年	本科	北京荣信创恒管理咨询有限公司	民营	100-299人	（联想集团）大数据项目经理	职位描述数据平台项目传统自动化MES项目大数据项目IOT大数据项目经理ü 岗位要求：1) 负责公司大数据项目的交付承接与交付全生命周期管理，对项目范围、计划、成本及质量方面进行良好的管控，保证项目成功交付2) 对项目交付所需干系资源进行沟通、协调、管理，确保项目干系人及内外部合作团队的协同工作，解决交付中的各类问题。3) 负责对项目过程中的问题与风险有效识别和解决，确保项目问题升级符合公司管理机制，确保项目问题与风险通报符合公司规范要求。4) 对客户满意度负责，并能通过积极主动维护经营客户关系、把握客户的需求、发展重要客户的长期业务、项目合作关系，达到成就客户的愿景；5) 通过可行性分析、项目预算、工作说明书等工作确保售前与售后的工作衔接，信息和需求理解统一。6) 配合PMO归集项目过程文档，组织总结、沉淀和积累行业经验、解决方案、产品应用。  ü 任职资格：1) 本科及以上学历，计算机或信息技术等相关专业（自动化）；2) 具有5年以上中大型项目管理经验，或8年以上IT项目经验，3年以上制造业大数据、物联网、AI相关项目管理经验者优先 3) 精通围绕大数据平台建设、大数据资源、大数据资产相关项目管理过程，具有较强的项目管理能力、沟通协调能力、问题和风险识别处理能力；4) 具有较强的大局观，能够统筹跨团队项目，具有丰富的项目组织及人员管理经验，能够有效管理交付团队。5) 较强的沟通和组织协调能力，善于分析项目需求和管理客户的合理期望。6) 具有优秀书面和口头表达能力，优秀的组织协调能力，良好的客户服务意识，具有良好的优质客户经营意识和持续发掘客户需求、提升业务发展规模的历史记录者优先。7) 掌握项目管理方法论和运用技巧，有PMP证书、系统集成项目管理师、项目经理证书者优先。8) 具备数据治理、大数据应用项目经验的优先。9) 具有较强的学习能力、自我管理能力；10) 能够在压力环境下工作；11) 有强烈的时间观念与责任感，有能力同时处理多个项目工作。12) 能接受国内频繁出差13) 熟练英语听说读写能力	西安碑林区太乙路一号
高级产品经理（能源大数据）	http://jobs.zhaopin.com/CC488110128J00591400805.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-2万	西安-高新技术产业开发区	5-10年	本科	深圳宏崎达技术有限公司	民营	20-99人	高级产品经理（能源大数据）	职位描述政府项目工业互联网能源大数据煤炭、电力          1、按照公司战略及行业客户需求，负责能源大数据业务线产品规划并推动落地；    2、深入洞察能源大数据发展政策趋势，能够前瞻性地进行产品规划，形成产品解决方案；    3、负责与客户进行调研、沟通、汇报，并对内进行需求分析沟通；挖掘产品及服务价值；    4、对产品的全生命周期负责，负责协调设计、研发团队将产品推动落地与实施上线。                任职要求       1、本科及以上学历；    2、5年以上的工业互联网/能源大数据相关产品工作经历，熟悉电厂、煤炭信息系统者优先；    3、有较为丰富的煤炭、化工、电力、新能源等行业产品或项目背景；    4、具备良好的产品思维能力和方法论意识，具备前瞻性和创新；    5、具备大型项目的驱动能力、组织协调能力、具有创业型的自我驱动精神。	绿地领海B座2017
大数据交付SA	http://jobs.zhaopin.com/CC000544460J40145490216.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2万	西安-雁塔区	3-5年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据交付SA	职位描述熟悉运营商业务项目交付经验大数据Hadoop需求分析技术方案设计电信移动 1、熟悉运营商业务，如计费、CRM、无线、网管等相关领域； 2、具备需求理解、标准理解能力，并能够顺畅的与客户进行沟通交流及引导，具备一定需求分析及管理能力； 3、有技术方案设计，并具备实际落地相关经验，具有一定的行业洞察和业务创新能力； 4、3年及以上电信行业从业经验，负责过特定模块交付工作，具备独立解决技术问题或风险管理能力； 5、熟练掌握SQL开发；熟悉python、perl等编程人员优先。	高新区天谷八路环普科技产业园E座
大数据开发工程师	http://jobs.zhaopin.com/CC703346420J40124822102.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	6千-1万	西安	不限	本科	神州数码系统集成服务有限公司西安分公司	上市公司	10000人以上	大数据开发工程师	职位描述数据库开发岗位职责：1、负责构建Spark/HDFS大数据处理架构；2、负责基于Spark技术的海量数据的自动化分析处理和统计工作；3、基于Spark框架大数据架构的设计、开发和维护；4、根据相关需求使用SparkStreaming/Storm、SparkSQL进行数据处理、查询和统计等工作。任职要求：1、计算机科学、软件工程等相关理工类专业硕士学历；2、熟练掌握Hadoop、Spark、Hbase等技术；3、熟悉Oracle、Mysql等数据库及SQL开发；4、了解分布式大数据处理工作及数据挖掘；5、具有良好的沟通交流能力、合作精神及主动学习精神，能够接受全国范围内的出差。	神州数码大厦
大数据产品营销经理	http://jobs.zhaopin.com/CC120143600J40148551715.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	9千-1.3万	西安-雁塔区	3-5年	本科	浪潮集团	国企	10000人以上	大数据产品营销经理	职位描述软件行业 【岗位职责】 1.对接政府、企业客户，开拓目标客户，维护客户关系，推动大数据业务的发展； 2.完成负责区域销售及回款目标达成； 3.关注所负责区域的市场动态，进行竞争分析，并合理配置市场资源； 4.组织或协调组织负责区域的市场活动。 【任职要求】 1.本科及以上学历，英语四级； 2.具备政府软件产品销售经验，有商务局、税务局、统计局以及大数据局客户资源者优先； 3.具备良好的人际沟通能力以及较强的抗压能力，具备商务谈判和现场营销支持的能力，适应短期出差。 【工作地点】陕西、重庆、四川、济南、天津	西安市高新区天谷八路211号环普国际科技园G3座18层
大数据开发工程师	http://jobs.zhaopin.com/CC701650830J40129123802.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"5千-1万
          · 14薪"	西安-莲湖区	1-3年	大专	三门峡崤云安全服务有限公司	国企	20-99人	大数据开发工程师	职位描述大数据开发数据分析数据采集Hadoop数据建模机器学习 岗位职责：   1. 负责场景化的数据分析和处理    2. 为大数据的全生命周期提供服务，覆盖数据产生，传输，建模，统计分析，实验评估，可视化的全流程    3. 探索研究数据采集、清洗、处理、存储等技术应用    4. 承担建设基于Hadoop/Hbase/Spark生态的大数据离线/实时处理平台；     5. 参与业务数据、生产日志的抽取、转储、检索等相关工作；    6. 跟进大数据前沿技术的发展，将合适的技术方案适时引入业务场景。  岗位要求：   1. 计算机、软件、数学等相关专业，2年以上相关经验；    2. 熟悉数据建模、数据抽取、数据分析、数据运营等知识。    3. 熟练使用业界流行大数据平台（Hadoop/Spark/Flume/Storm/ELK等），独立开展项目研究，熟悉所使用工具的技术原理、主要特点。    4. 编程基础扎实，熟悉算法数据结构，有较好的Python/Java/Scala开发经验，熟悉Linux操作系统；    5. 有过大数据平台产品的核心功能开发、性能调优、制定技术方案经验，有一般大数据架构的能力优先；     6. 熟练使用flume、Kafka、hbase、redis、mysql等常用工具；    7. 有SparkStreaming的实时统计或实时推荐整体架构开发经验优先、有sparkML开发经验优先；    8. 有OLAP大数据平台开发经验者优先 ，有政务工作经验者优先。  工作地点：河南省三门峡市开发区文博城运行指挥中心	莲湖区
大数据讲师	http://jobs.zhaopin.com/CC132230560J40133886306.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	7千-1.4万	西安-碑林区	1-3年	本科	深圳市讯方技术股份有限公司	股份制企业	1000-9999人	大数据讲师	职位描述大数据讲师岗位职责：1、备课（准备相关课程）并编写教案，授课及指导实验，为学员答疑解惑；2、授课所需实验环境的搭建与调试；3、按照标准及定制课程规范结合实例实施教学；4、协助市场部进行招生和企业客户培训解决方案定制等工作；5、按照标准及定制课程要求提升授课能力；任职要求：1、熟悉FusionInsight HD解决方案架构、设计、部署和维护；2、熟练掌握大数据常用组件技术原理、设计、部署、管理与维护（包括HBase, Hive, Loader, MR, YARN, HDFS, Spark, Flume, Solr, Hue, Kafka, Kerberos, Oozie, Zookeeper, Streaming）3、可以使用JAVA或者python，基于大数据平台进行相关应用的开发；4、有华为大数据项目交付经验、华为大数据HCNP、HCIE认证证书或者培训讲师经验者优先。福利待遇：1、薪酬水平高于同行业。2、缴纳五险一金：养老保险、医疗保险、工伤保险、生育保险、失业保险、住房公积金。3、股权激励：能力、业绩优秀者可优先入股。4、广阔的职业晋升通道，有价值就有位置。5、各种节日福利，只有你想不到。7、国家规定的各类假期。8、不定期组织体育类、文艺类、聚餐类等集体活动及公益性活动。	南稍门中贸广场15栋1单元1605室
